GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Extras for Eclipse Test Coverage/com.codeaffine.extras.ide,com.codeaffine.extras.ide.internal.openwith,OpenWithQuickMenu,80,0,6,0,20,0,9,0,6,0
Extras for Eclipse Test Coverage/com.codeaffine.extras.ide,com.codeaffine.extras.ide.internal.openwith,OpenWithQuickMenu.MenuCloseListener.new Runnable() {...},11,0,0,0,3,0,2,0,2,0
Extras for Eclipse Test Coverage/com.codeaffine.extras.ide,com.codeaffine.extras.ide.internal.openwith,OpenWithQuickMenu.MenuCloseListener,20,0,0,0,6,0,2,0,2,0
Extras for Eclipse Test Coverage/com.codeaffine.extras.ide,com.codeaffine.extras.ide.internal.openwith,OpenWithQuickMenu.MenuLocationComputer,8,0,0,0,2,0,2,0,2,0
Extras for Eclipse Test Coverage/com.codeaffine.extras.ide,com.codeaffine.extras.ide.internal.openwith,OpenWithQuickMenuHandler,7,83,1,9,2,28,2,12,1,8
Extras for Eclipse Test Coverage/com.codeaffine.extras.ide,com.codeaffine.extras.ide.internal.delete,DeleteEditorFileHandler,17,197,1,27,6,50,2,23,1,10
Extras for Eclipse Test Coverage/com.codeaffine.extras.ide,com.codeaffine.extras.ide.internal.delete,DeleteEditorFileHandler.DefaultDeleteEditorFilePrompter,24,0,0,0,5,0,2,0,2,0
Extras for Eclipse Test Coverage/com.codeaffine.extras.ide,com.codeaffine.extras.ide.internal.resourcefilter,NestedProjectFilter,2,77,3,7,0,14,3,9,0,7
Extras for Eclipse Test Coverage/com.codeaffine.extras.ide,com.codeaffine.extras.ide.internal.resourcefilter,RecursionGuard,0,26,0,0,0,8,0,4,0,4
Extras for Eclipse Test Coverage/com.codeaffine.extras.ide,com.codeaffine.extras.ide.internal.closeview,CloseViewHandler,0,42,0,4,0,15,0,7,0,5
Extras for Eclipse Test Coverage/com.codeaffine.extras.imageviewer,com.codeaffine.extras.imageviewer.internal,ImageViewerEditor,113,145,14,14,28,40,13,17,4,12
Extras for Eclipse Test Coverage/com.codeaffine.extras.imageviewer,com.codeaffine.extras.imageviewer.internal,FillLayoutFactory,0,12,0,0,0,4,0,1,0,1
Extras for Eclipse Test Coverage/com.codeaffine.extras.imageviewer,com.codeaffine.extras.imageviewer.internal,ImageViewer,0,92,1,5,0,22,1,8,0,6
